TradingDay,InstrumentID,LastPrice,PreSettlementPrice,PreClosePrice,PreOpenInterest,OpenPrice,HighestPrice,LowestPrice,Volume,Turnover,OpenInterest,ClosePrice,SettlementPrice,UpperLimitPrice,LowerLimitPrice,PreDelta,CurrDelta,UpdateTime,UpdateMillisec,BidPrice1,BidVolume1,AskPrice1,AskVolume1,AveragePrice,ActionDay,BidPrice2,BidVolume2,AskPrice2,AskVolume2,BidPrice3,BidVolume3,AskPrice3,AskVolume3,BidPrice4,BidVolume4,AskPrice4,AskVolume4,BidPrice5,BidVolume5,AskPrice5,AskVolume5
20211015,cu2112,73490.0,71730.0,72360.0,112826.0,72770.0,74210.0,72660.0,96061,35288861950.0,122364.0,1.7976931348623157e+308,1.7976931348623157e+308,77460.0,65990.0,0.0,1.7976931348623157e+308,12:16:33,0,367358.88602034125,20211015,73490.0,2,73500.0,4,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0
20211015,cu2112,73480.0,71730.0,72360.0,112826.0,72770.0,74210.0,72660.0,96065,35290331650.0,122364.0,1.7976931348623157e+308,1.7976931348623157e+308,77460.0,65990.0,0.0,1.7976931348623157e+308,12:16:33,500,367358.88877322647,20211015,73480.0,1,73490.0,3,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0
20211015,cu2112,73480.0,71730.0,72360.0,112826.0,72770.0,74210.0,72660.0,96065,35290331650.0,122364.0,1.7976931348623157e+308,1.7976931348623157e+308,77460.0,65990.0,0.0,1.7976931348623157e+308,12:16:34,0,367358.88877322647,20211015,73480.0,1,73490.0,3,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0
20211015,cu2112,73490.0,71730.0,72360.0,112826.0,72770.0,74210.0,72660.0,96066,35290699100.0,122364.0,1.7976931348623157e+308,1.7976931348623157e+308,77460.0,65990.0,0.0,1.7976931348623157e+308,12:16:34,500,367358.8897216497,20211015,73480.0,1,73490.0,5,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0
20211015,cu2112,73490.0,71730.0,72360.0,112826.0,72770.0,74210.0,72660.0,96066,35290699100.0,122364.0,1.7976931348623157e+308,1.7976931348623157e+308,77460.0,65990.0,0.0,1.7976931348623157e+308,12:16:35,0,367358.8897216497,20211015,73480.0,1,73490.0,6,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0
20211015,cu2112,73490.0,71730.0,72360.0,112826.0,72770.0,74210.0,72660.0,96066,35290699100.0,122364.0,1.7976931348623157e+308,1.7976931348623157e+308,77460.0,65990.0,0.0,1.7976931348623157e+308,12:16:36,500,367358.8897216497,20211015,73480.0,1,73490.0,6,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0
20211015,cu2112,73490.0,71730.0,72360.0,112826.0,72770.0,74210.0,72660.0,96066,35290699100.0,122364.0,1.7976931348623157e+308,1.7976931348623157e+308,77460.0,65990.0,0.0,1.7976931348623157e+308,12:16:37,0,367358.8897216497,20211015,73480.0,4,73490.0,5,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0
20211015,cu2112,73480.0,71730.0,72360.0,112826.0,72770.0,74210.0,72660.0,96076,35294373100.0,122356.0,1.7976931348623157e+308,1.7976931348623157e+308,77460.0,65990.0,0.0,1.7976931348623157e+308,12:16:37,500,367358.89400058286,20211015,73470.0,2,73490.0,5,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0
20211015,cu2112,73480.0,71730.0,72360.0,112826.0,72770.0,74210.0,72660.0,96078,35295107900.0,122355.0,1.7976931348623157e+308,1.7976931348623157e+308,77460.0,65990.0,0.0,1.7976931348623157e+308,12:16:38,0,367358.8948562626,20211015,73470.0,13,73490.0,5,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0
20211015,cu2112,73480.0,71730.0,72360.0,112826.0,72770.0,74210.0,72660.0,96078,35295107900.0,122355.0,1.7976931348623157e+308,1.7976931348623157e+308,77460.0,65990.0,0.0,1.7976931348623157e+308,12:16:38,500,367358.8948562626,20211015,73470.0,3,73480.0,2,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0,1.7976931348623157e+308,0
